S0001	How could machines learn as efficiently as humans and animals?
S0300	The first issue touches on one of the main questions surrounding learning for sequential decision processes: the diversity of the “training set” depends on the actions taken.
S0301	The issue is discussed in Section 4.10 below.
S0302	The second issue is even more dire: the world is not entirely predictable.
S0303	Hence, the world model should be able to represent multiple plausible outcomes from a given state and (optionally) an action.
S0304	This may constitute one of the most difficult challenges to which the present proposal brings a solution.
S0305	This issue is discussed in Section 4.8 below.
S0306	The third issue relates to the problem of long-term prediction and planning.
S0307	Humans plan complex goals at an abstract level and use high-level descriptions of the world states and actions to make predictions.
S0308	High-level goals are then decomposed into sequences of more elementary sequences of subgoals, using shorter-term prediction from the world model to produce lower-level actions.
S0309	This decomposition process is repeated all the way down to millisecond-by-millisecond muscle control, informed by local conditions.
S0310	The question of how world models could represent action plans at multiple time scales and multiple levels of abstraction is discussed in Section 4.6
S0311	Self-Supervised Learning (SSL) is a paradigm in which a learning system is trained to capture the mutual dependencies between its inputs.
S0312	Concretely, this often comes down to training a system to tell us if various parts of its input are consistent with each other.
S0313	For example, in a video prediction scenario, the system is given two video clips, and must tell us to what degree the second video clip is a plausible continuation of the first one.
S0314	In a pattern completion scenario, the system is given part of an input (image, text, audio signal) together with a proposal for the rest of the input, and tells us whether the proposal is a plausible completion of the first part.
S0315	In the following, we will denote the observed part of the input by x and the possibly-unobserved part by y.
S0316	Importantly, we do not impose that the model be able to predict y from x.
S0317	The reason is that there may be an infinite number of y that are compatible with a given x.
S0318	In a video prediction setting, there is an infinite number of video clips that are plausible continuations of a given clip.
S0319	It may be difficult, or intractable, to explicitly represent the set of plausible predictions.
S0320	But it seems less inconvenient to merely ask the system to tell us if a proposed y is compatible with a given x.
S0321	A general formulation can be done with the method of Energy-Based Models (EBM). (EBM means Energy-Based Model, a model that gives low scores to compatible states and higher scores to incompatible ones.)
S0322	The system is a scalar-valued function F (x, y) that produces low energy values when x and y are compatible and higher values when they are not.
S0323	The concept is depicted in Figure 8.
S0324	Data points are black dots.
S0325	The energy function produces low energy values around the data points, and higher energies away from the regions of high data density, as symbolized by the contour lines of the energy landscape.
S0326	The EBM implicit function formulation enables the system to represent multi-modal dependencies in which multiple values of y are compatible with a given x.
S0327	The set of y compatible with a given x may be a single point, multiple discrete points, a manifold, or a collection of points and manifolds.
S0328	To enable Mode-2 planning, a predictive world model should be trained to capture the dependencies between past and future sensory inputs.
S0329	It should be able to predict representations of the future from representations of the past and present.
S0330	The general learning principle is as follows: given two inputs x and y, learn two functions that compute representations sx = gx (x) and sy = gy (y) such that (1) sx and sy are maximally informative about x and y and (2) sy can easily be predicted from sx.
S0331	This principle ensures a trade-off between making the evolution of the world predictable in the representation space, and capturing as much information as possible about the world state in the representation.
S0332	What concepts could such an SSL system learn by being trained on video?
S0333	Our hypothesis is that a hierarchy of abstract concepts about how the world works could be acquired.
S0334	Learning a representation of a small image region such that it is predictable from neighboring regions surrounding it in space and time would cause the system to extract local edges and contours in images, and to detect moving contours in videos.
S0335	Learning a representation of images such that the representation of a scene from one viewpoint is predictable from the representation of the same scene from a slightly different viewpoint would cause the system to implicitly represent a depth map.
S0336	A depth map is the simplest way to explain how a view of a scene changes when the camera moves slightly.
S0337	Once the notion of depth has been learned, it would become simple for the system to identify occlusion edges, as well as the collective motion of regions belonging to a rigid object.
S0338	An implicit representation of 3D x Figure 8: Self-Supervised Learning (SSL) and Energy-Based Models (EBM).
S0339	SSL is a learning paradigm in which a learning system is trained to “fill in the blanks”, or more precisely to capture the dependencies between observed parts of the input and possibly unobserved parts of the input.
S0340	Part of the input signal is observed and denoted x (in pink), and part of the input signal is either observed or unobserved and denoted y (in blue).
S0341	In a temporal prediction scenario, x represents past and present observations, and y represent future observations.
S0342	In a general pattern completion scenario, various parts of the input may be observed or unobserved at various times.
S0343	The learning system is trained to capture the dependencies between x and y through a scalar-valued energy function F (x, y) that takes low values when x and y are consistent or compatible, and higher values if x and y are inconsistent or incompatible.
S0344	In a video prediction scenario, the system would produce a low energy value if a video clip y is a plausible continuation of the video clip x.
S0345	This energy-based model (EBM) formulation enables the system to represent multi-modal dependencies in which multiple values of y (perhaps an infinite set) may be compatible with a given x.
S0346	In the right panel, an energy landscape is represented in which dark discs represent data points, and closed lines represents contours (level sets) of the energy function. objects may spontaneously emerge.
S0347	Once the notion of object emerges in the representation, concepts like object permanence may become easy to learn: objects that disappear behind others due to parallax motion will invariably reappear.
S0348	The distinction between inanimate and animate object would follow: inanimate object are those whose trajectories are easily predictable.
S0349	Intuitive physics concepts such as stability, gravity, momentum, may follow by training the system to perform longer-term predictions at the object representation level.
S0350	One may imagine that through predictions at increasingly abstract levels of representation and increasingly long time scales, more and more complex concepts about how the world works may be acquired in a multi-level fashion.
S0351	The idea that abstract concepts can be learned through prediction is an old one, formulated in various way by many authors in cognitive science, neuroscience, and AI over several decades.
S0352	The question is how to do it, precisely.
S0353	Figure 9: Latent-Variable Energy-Based Model (LVEBM).
S0354	To evaluate the degree of compatibility between x and y, an EBM may need the help of a hidden variable z. (A latent variable is a hidden variable the model uses to represent missing, uncertain, or compressed information.)
S0355	The hidden variable can be seen as parameterizing the set of possible relationships between an x and a set of compatible y.
S0356	Hidden variables represent information about y that cannot be extracted from x.
S0357	For example, if x is a view of an object, and y another view of the same object, z may parameterize the camera displacement between the two views.
S0358	Inference consists in finding the latent that minimizes the energy ž = argminz∈Z Ew (x, y, z).
S0359	The resulting energy Fw (x, y) = Ew (x, y, ž) only depends on x and y.
S0360	In the dual view example, inference finds the camera motion that best explains how x could be transformed into y.
S0361	As was pointed out above, one of the main issues is enabling the model to represent multiple predictions.
S0362	This may require the use of a hidden variable.
S0363	A hidden variable is an input variable whose value is not observed but inferred.
S0364	A hidden variable can be seen as parameterizing the set of possible relationships between an x and a set of compatible y.
S0365	Hidden variables are used to represent information about y that cannot be extracted from x.
S0366	Imagine a scenario in which x is a photo of a scene, and y a photo of the same scene from a slightly different viewpoint.
S0367	To tell whether x and y are indeed views from the same scene, one may need to infer the displacement of the camera between the two views.
S0368	Similarly, if x is a picture of a car coming to a fork in the road, and y is a picture of the same car a few seconds later on one of the branches of the fork, the compatibility between x and y depends on a binary hidden variable that can be inferred: did the car turn left or right.
S0369	In a temporal prediction scenario, the hidden variable represents what cannot be predicted about y (the future) solely from x and from past observations (the past).
S0370	It should contain all information that would be useful for the prediction, but is not observable, or not knowable.
S0371	I may not know whether the driver in front of me will turn left or right, accelerate or brake, but I can represent those options by a hidden variable.
S0372	A latent-variable EBM (LVEBM) is a parameterized energy function that depends on x, y, and z: Ew (x, y, z).
S0373	When presented with a pair (x, y) the inference procedure of the EBM finds a value of the hidden variable z that minimizes the energy ž = argmin Ew (x, y, z) z∈Z This latent-variable inference by minimization allows us to eliminate z from the energy function: Fw (x, y) = min Ew (x, y, z) = Ew (x, y, ž) (5) z∈Z Technically, Fw (x, y) should be called a zero-temperature free energy, but we will continue to call it the energy.
S0374	Before we discuss EBM training, it is important to note that the definition of EBM does not make any reference to probabilistic modeling.
S0375	Although many EBMs can easily be turned into probabilistic models, e.g. through a Gibbs distribution, this is not at all a necessity. (A Gibbs or Gibbs-Boltzmann distribution turns energies into probabilities, so lower-energy states become more likely.)
S0376	Hence the energy function is viewed as the fundamental object and is not assumed to implicitly represent the unnormalized logarithm of a probability distribution.
S0377	Training an EBM consists in constructing an architecture (e.g. a deep neural network) to compute the energy function Fw (x, y) parameterized with a parameter vector w.
S0378	The training process must seek a w vector that gives the right shape to the energy function.
S0379	For a given x from the training set, a well-trained Fw (x, y) will produce lower energies for values of y that are associated with x in the training set, and higher energies to other values of y.
S0380	Given a training sample (x, y), training an EBM comes down to devising a suitable loss functional L(x, y, Fw (x, y)), which can be expressed directly as a function of the parameter vector L(x, y, w), and such that minimizing this loss will make the energy of the training sample Fw (x, y) lower than the energies Fw (x, ŷ) of any ŷ different from y.
S0381	Making the energy of the training sample low is easy: it is sufficient for the loss to be an increasing function of the energy, and for the energy to have a lower bound.
S0382	The difficult question is how to ensure that the energies of ŷ different from y are higher than the energy of y.
S0383	Without a specific provision to ensure that Fw (x, y 0 ) > Fw (x, y) whenever ŷ 6= y the energy landscape may suffer a collapse: given an x the energy landscape could become “flat”, giving essentially the same energy to all values of y.
S0384	What EBM architectures are susceptible to collapse?
S0385	Whether an EBM may be susceptible to collapse depends on its architecture.
S0386	Figure 10 shows a number of standard architectures and indicates whether they can be subject to collapse.
S0387	A regular predictive or deterministic-generative architecture (Figure 10(a)) cannot collapse.
S0388	For any x, a single ỹ is produced.
S0389	The energy is zero whenever y = ỹ.
S0390	Any y different from ỹ will have a higher energy, as long as D(y, ỹ) is strictly larger than zero whenever y is different from ỹ.
S0391	A generative latent-variable architecture (non-deterministic generative) (Figure 10(b)) can collapse when the hidden variable has too much information capacity.
S0392	When the hidden variable z varies over the set Z, the prediction ỹ varies over a set Pred(sx, Z), which must match the set of y that are compatible with x.
S0393	If Z is too “large” then the region of lowenergy y may be larger than the region of high data density.
S0394	If z has the same dimension as y, the system could very well give zero energy to the entire y space.
S0395	An auto-encoder (AE) (Figure 10(c)) can collapse when the representation sy has too much information capacity.
S0396	For example, if the dimension of sy is equal or higher than that of y, the AE could learn the identity function, producing a reconstruction error equal to zero over the entire y space.
S0397	Lastly, a Joint Embedding Architecture (JEA) (Figure 10(d)) can collapse when the information carried by sx and/or sy are insufficient.
S0398	If the encoders ignore the inputs, and produce constant and equal codes sx = sy, the entire space will have zero energy.
S0399	These are but a few examples of architectures.
S0400	How do we design the loss to prevent collapse?
S0401	There are two approaches: contrastive methods and regularized methods.
S0402	In the following, I will argue that contrastive methods have flaws and that regularized (non contrastive) methods are much more likely to be preferable in the long run.
S0403	Contrastive methods consist in using a loss functional whose minimization has the effect of pushing down on the energies of training samples (x, y), and pulling up on the energies of suitably-hallucinated “contrastive” samples (x, ŷ).
S0404	The contrastive sample ŷ should be picked in such a way as to ensure that the EBM assigns higher energies to points outside the regions of high data density.
S0405	This translates into designing a loss that is an increasing function of Fw (x, y) and a decreasing function of Fw (x, ŷ), at least whenever Fw (x, ŷ) is not sufficiently higher than Fw (x, y).
S0406	There are many such contrastive loss functions, some of them taking a single triplet (x, y, ŷ), others requiring a batch of positive and contrastive values of y.
S0407	A simple example of contrastive loss functions is as follows: L(w, x, y, ŷ) = H(Fw (x, y), Fw (x, ŷ), m(y, ŷ)) where H is an increasing function of Fw (x, y), and a decreasing function of Fw (x, ŷ) whenever the latter is less than the former plus a positive margin function m(y, ŷ).
S0408	A simple instance of such loss is the distance-dependent hinge loss: h L(w, x, y, ŷ) = Fw (x, y) − Fw (x, ŷ) + µ||y − ŷ||2 where [a]+ is the identity when a is positive and zero otherwise.
S0409	This makes the energy grow at least quadratically with the distance to the data manifold.
S0410	Other contrastive loss functionals take multiple contrastive samples into consideration: L(w, x, y, ŷ[1],..., ŷ[K]) = H(Fw (x, y), Fw (x, ŷ[1]),..., Fw (x, ŷ[K])) Which must be an increasing function of the first argument, and a decreasing function of all other arguments.
S0411	An example of such loss is the popular InfoNCE: " L(w, x, y, ŷ[1],..., ŷ[K]) = Fw (x, y) + log exp(−Fw (x, y)) + k=1 Contrastive methods are very popular, particularly for Siamese network architectures trained with pairs where x is a distorted or corrupted version of y and ŷ another random (or suitably chosen) training sample.
S0412	This includes such methods as the original Siamese net, as well as more recent methods including DrLIM, PIRL, MoCO, SimCLR, CPT, and others.
S0413	Contrastive methods also include such classical methods as probabilistic models trained with maximum likelihood that are not automatically normalized.
S0414	Contrastive samples ŷ are often produced using Monte Carlo methods, Markov-Chain Monte Carlo methods, or approximate versions thereof, such as Contrastive Divergence.
S0415	Generative Adversarial Networks can also be seen as contrastive methods in which the ŷ are produced by the trainable generator network.
S0416	Denoising Auto-Encoders and their special case, Masked Auto-Encoders, are also examples of contrastive training methods in which the ŷ is generated by corrupting the clean y.
S0417	A more detailed discussion of various contrastive methods is given in appendix 8.3.3.
S0418	But there are two main issues with contrastive methods.
S0419	First, one has to design a scheme to generate or pick suitable ŷ.
S0420	Second, when y is in a high-dimensional space, and if the EBM is flexible, it may require a very large number of contrastive samples to ensure that the energy is higher in all dimensions unoccupied by the local data distribution.
S0421	Because of the curse of dimensionality, in the worst case, the number of contrastive samples may grow exponentially with the dimension of the representation.
S0422	This is the main reason why I will argue against contrastive methods.
S0423	Regularized methods for EBM training are much more promising in the long run than contrastive methods because they can eschew the curse of dimensionality that plagues contrastive methods.
S0424	They consist in constructing a loss functional that has the effect of pushing down on the energies of training samples, and simultaneously minimizing the volume of y space to which the model associates a low energy.
S0425	The volume of the low-energy region is measured by a regularization term in the energy and/or in the loss.
S0426	By minimizing this regularization term while pushing down on the energies of data points, the regions of low energy will “shrink-wrap” the regions of high data density.
S0427	The main advantage of non-contrastive regularized methods is that they are less likely than contrastive methods to fall victim to the curse of dimensionality.
S0428	The main question is precisely how to design such volume-minimizing regularizers.
S0429	The answer depends greatly on the architecture of the model, which is discussed in the next sections.
S0430	But, non-contrastive methods have existed for a long time.
S0431	Examples include sparse modeling, sparse auto-encoders, and autoencoders with noisy hidden variables, such as VAE. (VAE means Variational Autoencoder, a model that uses probabilistic hidden variables to represent uncertainty.)
S0432	It is important to note that contrastive and regularized methods are not incompatible with each other, and can be used simultaneously on the same model.
S0433	How would regularized methods apply to the architectures of Figure 10(b-d)?
S0434	In the latent-variable generative architecture, restricting the information capacity of z will restrict the volume of y space that can take low energy.
S0435	If z is discrete with possible k values, at most k points in y space will have zero energy. if Z is a manifold of dimension d then the region of y space with zero energy will have at most d dimensions.
S0436	Similarly, in the auto-encoder architecture, restricting the information capacity of sy will restrict the volume of y space that can be reconstructed with low energy.
S0437	Lastly, in the Joint Embedding Architecture, Maximizing the information that sx contains about x and sy contains about y will minimize the volume of y space that can take low energy.
S0438	In the following, we will focus on an architecture for SSL the Joint Embedding Predictive Architectures (JEPA) which can seen as a combination of the Joint Embedding Architecture and the Latent-Variable Generative Architecture.
S0439	The JEPA is non-generative in that it does not actually predict y, but predicts the representation of y, sy from that of x, sx.
S0440	Figure 10: A few standard architectures and their capacity for collapse.
S0441	(a) Deterministic generative architecture: cannot collapse because it can only produce a single output.
S0442	For a given x, only one value of y may have zero energy: y = ỹ.
S0443	Other values of y will have higher energy if D(u, ỹ) is larger than zero when y 6= ỹ.
S0444	(b) Non-deterministic generative architecture: can collapse when the hidden variable has excessive information capacity.
S0445	If for a given x and for all y there exists a z that produces zero prediction energy (e.g. if z has the same or higher dimension as y), the entire y space will have low energy.
S0446	The information capacity of z should be just enough so that varying z over its set will produce all the plausible ỹ for a given x.
S0447	(c) Auto-encoder: can collapse if the system learns the identity function or if it can correctly reconstruct a region of y space that is much larger than the region of high data density, thereby giving low energy to an overly large region.
S0448	(d) Simple joint embedding architecture: can collapse if the encoders ignore the inputs and produce representations that remain constant and equal, or if the encoders are invariant over overly broad regions of the space.
S0449	Figure 11: Contrastive and regularized methods for EBM training.
S0450	A conceptual diagram of an energy landscape is shown on the left.
S0451	Training samples are blue dots.
S0452	The region of low energy is shown in orange (a level set of the energy function).
S0453	Contrastive methods (top right) push down on the energy of training samples (blue dots) and pulls up on the energies of suitably-placed contrastive samples (green dots). regularized methods (bottom right) push down on the energy of training samples and use a regularizer term that minimizes the volume of low-energy regions.
S0454	This regularization has the effect of “shrink-wrapping” the regions of high data density within the low-energy regions, to the extent that the flexibility of the energy function permits it.
S0455	One issue with contrastive methods is that the energy will only be pulled up wherever contrastive samples have been placed.
S0456	One must devise methods that preferentially place contrastive samples in regions of low energy, which is what Monte-Carlo and MCMC methods do.
S0457	But, a disadvantage of contrastive methods is that the number of contrastive samples necessary to make an energy surface adopt a good shape may grow exponentially with the dimension of y space.
S0458	The centerpiece of this paper is the Joint Embedding Predictive Architecture (JEPA).
S0459	JEPA is not generative in the sense that it cannot easily be used to predict y from x.
S0460	It merely capture the dependencies between x and y without explicitly generating predictions of y.
S0461	A generic JEPA is shown in Figure 12.
S0462	The two variables x and y are fed to two encoders producing two presentations sx and sy.
S0463	These two encoders may be different.
S0464	They are not required to possess the same architecture nor are they required to share their parameters.
S0465	This allows x and y to be different in nature (e.g. video and audio).
S0466	A predictor module predicts the representation of y from the representation of x.
S0467	The predictor may depend on a hidden variable z.
S0468	The energy is simply the prediction error in representation space: Ew (x, y, z) = D(sy, Pred(sx, z)) The overall energy is obtained by minimizing over z: ž = argmin Ew (x, y, z) = argmin D(sy, Pred(sx, z)) z∈Z Fw (x, y) = min Ew (x, y, z) = D(sy, Pred(sx, ž)) z∈Z The main advantage of JEPA is that it performs predictions in representation space, eschewing the need to predict every detail of y.
S0469	This is enabled by the fact that the encoder of y may choose to produce an abstract representation from which irrelevant details have been eliminated.
S0470	But there are two ways a JEPA may represent the multiplicity of values of y compatible with x.
S0471	The first one is invariance properties of the y encoder, the second one is the hidden variable z, as explained below. multi-modality through encoder invariance: The encoder function sy = Enc(y) may have invariance properties.
S0472	If all the y’s in a set map to the same value of sy, all those y’s will have identical energies.
S0473	With JEPA, we lose the ability to generate outputs, but we gain a powerful way to represent multi-modal dependencies between inputs and outputs. multi-modality through hidden variable predictor: The predictor may use a hidden variable z to capture the information necessary to predict sy that is not present in sx.
S0474	When z is varied over a set Z, the predictor produces a set of plausible predictions Pred(sx, Z) = {s̃y = Pred(sx, z) ∀z ∈ Z}.
S0475	For example, if x is a video clip of a car approaching a fork in the road, sx and sy may represent the past and future positions, orientations, velocities and other characteristics of the car, ignoring irrelevant details such as the trees bordering the road or the texture of the sidewalk.
S0476	The latent z may be a binary variable indicating whether the car takes the left branch (z = 0) or the right branch (z = 1 if the road.
S0477	If the car takes the left branch, the value z = 0 will produce a lower energy D(sy, s̃y ) than z = 1.
S0478	Figure 12: The Joint-Embedding Predictive Architecture (JEPA) consists of two encoding branches.
S0479	The first branch computes sx, a representation of x and the second branch sy a representation of y.
S0480	The encoders do not need to be identical.
S0481	A predictor module predicts sy from sx with the possible help of a hidden variable z.
S0482	The energy is the prediction error.
S0483	Simple variations of the JEPA may use no predictor, forcing the two representations to be equal, or may use a fixed predictor with no latent, or may use simple latents such as discrete variables.
S0484	The main advantage of JEPA is that it performs predictions in representation space, eschewing the need to predict every detail of y, and enabling the elimination of irrelevant details by the encoders.
S0485	More precisely, the main advantage of this architecture for representing multi-modal dependencies is twofold: (1) the encoder function sy = Enc(y) may possess invariance properties that will make it produce the same sy for a set of different y.
S0486	This makes the energy constant over this set and allows the model to capture complex multi-modal dependencies; (2) The hidden variable z, when varied over a set Z, can produce a set of plausible predictions Pred(sx, Z) = {s̃y = Pred(sx, z) ∀z ∈ Z} If x is a video clip of a car approaching a fork in the road, sx and sy may represent the position, orientation, velocity and other characteristics of the car before and after the fork, respectively, ignoring irrelevant details such as the trees bordering the road or the texture of the sidewalk. z may represent whether the car takes the left branch or the right branch of the road.
S0487	Like any EBM, a JEPA can be trained with contrastive methods.
S0488	But, as pointed out above, contrastive methods tend to become very inefficient in high dimension.
S0489	The relevant dimension here is that of sy, which may be considerably smaller than y, but still too high for efficient training.
S0490	What makes JEPAs particularly interesting is that we can devise non-contrastive methods to train them.
S0491	As explained in section 4.3, non-contrastive methods use regularizers that measure the volume of space that can take low energy values.
S0492	In the case of the JEPA, this can be done through four criteria, as depicted in Figure 13: 1. maximize the information content of sx about x 2. maximize the information content of sy about y 3. make sy easily predictable from sx 4. minimize the information content of the hidden variable z used in the prediction.
S0493	Criteria 1 and 2 prevent the energy surface from becoming flat by informational collapse.
S0494	They ensure that sx and sy carry as much information as possible about their inputs.
S0495	Without these criteria the system could choose to make sx and sy constant, or weakly informative, which would make the energy constant over large swaths of the input space.
S0496	Criterion 3 is enforced by the energy term D(sy, s̃y ) and ensures that y is predictable from x in representation space.
S0497	Criterion 4 prevents the system from falling victim to another type of informational collapse by forcing the model to predict sy with as little help from the latent as possible.
S0498	This type of collapse can be understood with the following thought experiment.
S0499	Imagine that z has the same dimension as sy.
S0500	Assume that the predictor is a parameterized function (e.g. a neural net) that can choose to ignore sx and to simply copy z on its output s̃y = z.
S0501	For any sy it is possible to set ž = sy, which would make the energy D(sy, s̃y ) zero.
S0502	This corresponds to a totally flat and collapsed energy surface.
S0503	How do we prevent this collapse from happening?
S0504	By limiting or minimizing the information content of the hidden variable.
S0505	How can this be done?
S0506	By making z discrete, low-dimensional, sparse, or noisy, among other methods.
S0507	A few concrete examples may help build an intuitive understanding of the phenomenon.
S0508	Suppose that D(sy, s̃y ) = ||sy − s̃y ||2 and that z is discrete with K possible integer values [0, K − 1].
S0509	For a given x, there can be only K possible values of s̃y : Pred(sx, 0), Pred(sx, 1),..., Pred(sx, K − 1).
S0510	Hence, these can be the only values of sy with zero energy, and there are only K of them.
S0511	Consider a point sy that starts from Pred(sx, 0) and moves towards Pred(sx, 1).
S0512	Its energy will start from zero, increase quadratically as sy moves away from Pred(sx, 0), until sy.
S0513	When sy becomes closer to Pred(sx, 1) than to Pred(sx, 0), the energy will decrease, reaching zero when sy reaches Pred(sx, 1).
S0514	In representation space, the energy will be the minimum of K quadratic energy wells.
S0515	Similarly, imagine that z is a vector whose dimension d is lower than that of s̃y.
S0516	Then, assuming that Pred(sx, z) is a smooth function of z, the set of possible predictions will be at most a d-dimensional manifold in the space of sy.
S0517	More to the point, imagine that the energy function is augmented by a regularization P term on z of the form R(z) = α di=1 |zi |, i.e. the L1 norm of z.
S0518	This will drive ž to be sparse.
S0519	As with classical sparse coding, this will cause the region of low energy to be approximated by a union of low-dimensional manifolds (a union of low-dimensional linear subspaces if Pred(sx, z) is linear in z), whose dimension will be minimized by the L1 regularizer.
S0520	Making z a stochastic sample from a distribution whose entropy is maximized will also have a proper regularization effect.
S0521	This is the basis of Variational Auto-Encoders and similar models.
S0522	A more complete discussion of regularizers that can minimize the information content of hidden variables is beyond the scope of this paper.
S0523	For now, we can mention four classes of methods: discretization/quantification (e.g. as in VQ-VAE (Walker et al., 2021), dimensionality/rank minimization (e.g. as in Implicit Rank-Minimizing AE (Jing et al., 2020), sparsification (as in linear sparse modeling (Olshausen and Field, 1996), LISTA (Gregor and LeCun, 2010b), and non-linear sparse modeling (Evtimova and LeCun, 2022)), and fuzzyfication (as in noisy AE (Doi et al., 2007), VAE (Kingma and Welling, 2013), and variants used in control problems (Henaff et al., 2019)).
S0524	The ability of the JEPA to predict in representation space makes it considerably preferable to generative models that directly produce a prediction of y.
S0525	In a video prediction scenario, it is essentially impossible to predict every pixel value of every future frame.
S0526	The details of the texture on a carpet, the leaves of a tree moving in the wind, or the ripples on a pond, cannot be predicted accurately, at least not over long time periods and not without consuming major resources.
S0527	A considerable advantage of JEPA is that it can choose to ignore details of the inputs that are not easily predictable.
S0528	Yet, Criteria 1 and 2 will ensure that the information content of the ignored details are kept to a minimum.
S0529	How can we implement Criteria 1 and 2?
S0530	In other words, given a parameterized deterministic encoding function sy = Encw (y), how do we maximize the information content of sy ?
S0531	If Encw (y) is invertible, sy contains all the information about y, but that may be suboptimal for Criterion 3, as sy will contain many irrelevant or hard-to-predict details about y.
S0532	More precisely, sy is maximally informative about y if the function Encw (y) is minimally surjective, i.e. if the volume of sets of y that map to the same sy is minimal.
S0533	The same reasoning applies to the x encoder.
S0534	To turn this criterion into a differentiable loss, we need to make some assumptions.
S0535	4.5.1 The VICReg method (Bardes et al., 2021) makes a few assumptions about the distributions of sx and sy. (VICReg is a self-supervised training method that keeps representations informative without relying on explicit negative examples.)
S0536	A graphical representation is shown in Figure 14.
S0537	To maximize the information content of sx, VICReg uses the following two sub-criteria: (1) the components of sx must not be constant, (2) the components of sx must be as independent of each other as possible.
S0538	This is approximated by first non-linearly mapping sx and sy to higher-dimensional embeddings vx and vy through a trainable expander module (e.g. a neural net with a few layers), and using a loss function with two differentiable loss terms computed over a batch of samples: 1.
S0539	Variance: a hinge loss that maintains the standard deviation of each component of sy and vy above a threshold over a batch.
S0540	2.
S0541	Covariance: a covariance loss in which the covariance between pairs of different components of vy are pushed towards zero.
S0542	This has the effect of decorrelating the components of vy, which will in turn make the components of sy somewhat independent.
S0543	The same criteria are applied to sx and vx separately.
S0544	The third criterion of VICReg is the representation prediction error D(sy, s̃y ).
S0545	In the simplest implementations of VICReg, the predictor is constant (equal to the identity function), making the representations invariant to the transformation that turns x into y.
S0546	In more sophisticated versions, the predictor may have no hidden variable, or may depend on a hidden variable that is either discrete, low dimensional, or stochastic.
S0547	The fourth criterion is necessary when the predictor uses a hidden variable whose information content must be minimized, for example a vector whose dimension approaches or surpasses that of s̃y.
S0548	A simple instantiation of VICReg to learn invariant representations consists in making x and y be different views (or distorted versions) of the same content, setting the predictor to the identity function, and defining D(sy, s̃y ) = D(sy, sx ) = ||sy − sx ||2.
S0549	Inferring the hidden variable through gradient-based methods may be onerous.
S0550	But the computational cost can be greatly reduced by using amortized inference, as explained in Appendix 8.3.3.
S0551	While contrastive methods ensure that representations of different inputs in a batch are different, VICReg ensures that different components of representations over a batch are different.
S0552	VICReg is contrastive over components, while traditional contrastive methods are contrastive over vectors, which requires a large number of contrastive samples.
S0553	But the most promising aspect of JEPA trained with VICReg and similar non-contrastive methods is for learning multi-level predictive world models, as we examine in the next section.
S0554	4.5.2 With the training criteria listed above, the JEPA finds a trade-off between the completeness and the predictability of the representations.
S0555	What is predictable and what does not get represented is determined implicitly by the architectures of the encoders and predictor.
S0556	They determine a inductive bias that defines what information is predictable or not.
S0557	But it would be useful to have a way to bias the system towards representations that contain information relevant to a class of tasks.
S0558	This can be done by adding prediction heads that take s̃y as input and are trained to predict variables that are easily derived from the data and known to be relevant to the task.
S0559	Figure 13: Non-contrastive training of JEPA.
S0560	The main attraction of JEPAs is that they can be trained with non-contrastive methods.
S0561	The basic principle of such training is that (1) sx should be maximally informative about x; (2) sy should be maximally informative about y; (3) sy should be easily predictable from sx; and (4) z should have minimal information content.
S0562	Criteria 1, 2, and 4 collectively prevent a collapse of the energy function.
S0563	Examples of such non-contrastive criteria for JEPA training include VICReg and Barlow Twins.
S0564	As with every EBM, JEPAs can also be trained with contrastive methods.
S0565	But doing so runs into the curse of dimensionality and limits the practical dimension of sy.
S0566	Figure 14: Training a JEPA with VICReg.
S0567	VICReg is a non sample-contrastive method for training embeddings.
S0568	The information content of the representations sx and sy is maximized by first mapping them to higher-dimensional embeddings vx and vy through an expander (e.g. a trainable neural net with a few layers).
S0569	The loss function drives the covariance matrix of the embeddings towards the identity (e.g. computed over a batch).
S0570	VICReg can be seen as a dimension-contrastive method as opposed to sample-contrastive methods.
S0571	JEPA models trained non-contrastively may constitute our best tool for learning world models that are able to learn relevant abstractions.
S0572	When trained with VICReg and similar criteria, a JEPA can choose to train its encoders to eliminate irrelevant details of the inputs so as to make the representations more predictable.
S0573	In other words, a JEPA will learn abstract representations that make the world predictable.
S0574	Unpredictable details will be eliminated by the invariance properties of the encoder, or will be pushed into the predictor’s hidden variable.
S0575	The amount of information thereby ignored will be minimized by the training criteria and by the hidden variable regularizer.
S0576	It is important to note that generative latent-variable models are not capable of eliminating irrelevant details, other than by pushing them into a hidden variable.
S0577	This is because they do not produce abstract (and invariant) representations of y.
S0578	This is why we advocate against the use of generative architectures.
S0579	The capacity of JEPA to learn abstractions suggests an extension of the architecture to handle prediction at multiple time scales and multiple levels of abstraction.
S0580	Intuitively, lowlevel representations contain a lot of details about the input, and can be used to predict in the short term.
S0581	But it may be difficult to produce accurate long-term predictions with the same level of details.
S0582	Conversely high-level, abstract representation may enable long-term predictions, but at the cost of eliminating a lot of details.
S0583	Let’s take a concrete example.
S0584	When driving a car, given a proposed sequence of actions on the steering wheel and pedals over the next several seconds, drivers can accurately predict the trajectory of their car over the same period.
S0585	The details of the trajectory over longer periods are harder to predict because they may depend on other cars, traffic lights, pedestrians, and other external events that are somewhat unpredictable.
